,minutes,ag0,ag1,ag2,ag3,ag4,ag5,ag6,ag7,ag8,ag9,ag10,ag11,ag12,ag13,ag14,ag15,ag16,ag17,ag18,ag19,ag20,ag21,ag22,ag23,ag24,ag25,ag26,ag27,ag28,ag29,ag30,ag31,ag32,ag33,ag34,ag35,ag36,ag37,ag38,ag39,ag40,ag41,ag42,ag43,ag44,ag45,ag46,ag47,ag48,ag49,ag50,PV0,PV1,PV2,PV3,PV4,PV5,PV6,PV7,PV8,PV9,PV10,PV11,PV12,PV13,PV14,PV15,PV16,PV17,PV18,PV19,PV20,PV21,PV22,PV23,PV24,PV25,PV26,PV27,PV28,PV29,PV30,PV31,PV32,PV33,PV34,PV35,PV36,PV37,PV38,PV39,PV40,PV41,PV42,PV43,PV44,PV45,PV46,PV47,PV48,PV49
0,0.0,0.0,2.5875,0.0,0.0,0.0,2.5875,0.23022525555129617,2.5875,0.8625,0.0,0.8625,3.45,0.0,2.5875,0.0,2.5875,0.8625,0.0,0.0,0.0,0.8625,0.0,0.8625,0.0,0.006930410534854881,1.725,2.5875,0.0,1.4375,1.725,0.0,0.0,0.0,2.5875,1.725,0.0,0.0,0.0,2.5875,0.0,0.0,0.8625,0.8625,0.24062736390011663,0.38765748057288313,0.0,0.8625,0.0,0.0,0.3356220907273775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15.0,2.238301594303854,1.5842381811775992,0.0,0.0,2.5875,0.0,0.8625,0.0,0.0,3.45,0.0,0.0,0.0,1.5171553599397494,1.4375,0.0,0.8625,0.0,1.725,1.725,0.0,2.282625227188019,0.8625,0.0,2.5875,1.725,0.0,0.0,0.0,0.0,3.45,0.8625,0.0,1.515818361018723,0.0,1.725,0.0,1.1753351436481287,0.0,2.5875,0.8625,0.8625,0.8625,0.0,0.0,0.0,0.0,0.8625,0.20151564006942563,0.0,0.45915223862203813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,30.0,0.0,2.5875,0.0,0.8625,0.0,2.5875,0.8625,0.0,0.0,0.0,0.0,3.45,0.0,0.0,0.0,2.5875,0.0,0.0,0.0,0.0,0.8625,3.45,0.8625,2.5875,0.0,0.0,0.0,1.4375,1.4375,0.7023176481931386,3.45,0.0,2.5875,0.0,0.0,1.725,2.5875,2.4068527765129293,1.5080082583984822,2.5875,0.8625,0.6985462334975484,0.0,0.8625,0.17370037633373084,0.0,0.8625,0.2980270571152035,0.0,0.6279808727504632,0.4449125340506832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,45.0,3.3770644762341613,2.5875,0.0,0.0,0.0,0.0,0.0,2.5875,0.0,3.45,0.0,0.0,3.45,2.5875,1.4375,0.0,0.0,0.0,1.725,0.0,0.8625,0.0,0.8625,2.5875,2.5875,1.725,0.36463396756506095,0.0,1.4375,1.725,3.45,0.2895838773823545,2.5875,2.5875,1.725,1.725,0.0,0.0,2.5875,2.5875,0.0,0.8625,0.0,0.0,0.8625,0.30644743891561677,0.8625,0.0,0.034372055402484586,0.8625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,60.0,0.0,2.5875,0.0,0.0,2.5875,0.0,0.0,0.0,0.8625,0.0,0.8625,3.45,1.120905076410915,2.5875,1.4375,0.0,0.8625,0.0,0.0,0.5345819249481911,0.8625,0.0,0.0,0.0,2.5875,1.5381046260658164,0.0,0.0,0.0,0.0,0.0,0.8625,2.5875,0.018849785741203773,0.5593223551515151,1.725,2.5875,0.0,0.0,0.0,0.0,0.8625,0.0,0.0,0.0,0.0,0.48318994736418086,0.8625,1.15,0.8625,0.08564018347953357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,75.0,2.7826318411946684,2.5875,0.0,0.0,0.0,2.5875,0.0,0.0,0.0,1.2490620884821908,0.0,0.0,0.0,0.8103705384383292,1.4375,0.5313041472027027,0.0,1.725,0.0,1.725,0.8625,3.45,0.8625,0.0,0.0,0.0,2.5875,1.4375,0.0,1.725,3.45,0.0,2.5875,0.0,1.725,1.725,0.0,2.084454202522674,0.0,2.5875,0.009230391820532854,0.8625,0.6894623054898762,0.05415227586907105,0.8625,0.8625,0.8625,0.0,1.1000914590710325,0.8625,0.8625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,90.0,1.555045596450448,0.533976877525928,0.0,0.8625,2.5875,2.5875,0.8625,0.0,0.8625,0.0,0.8625,0.0,0.0,2.532145444918171,1.4375,0.0,0.8625,0.0,0.0,0.0,0.0,0.0,0.8625,0.8426221380036101,0.0,1.725,0.0,0.0,0.17087986498221774,0.0,3.45,0.8625,2.5875,2.5875,0.0,0.0,2.5875,0.0,0.0,0.0,0.8625,0.0,0.0,0.0,0.0,0.23748159795218435,0.0,0.33779825490463555,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,105.0,10.35,2.5875,1.725,0.8625,0.0,2.5875,0.0,2.5875,0.0,3.45,0.8625,0.0,3.45,0.0,1.4375,0.0,0.8625,0.0,0.0,1.725,0.8625,3.45,0.8625,0.0,2.5875,1.725,0.0,1.4375,0.0,0.0,1.4440245297818506,0.8625,2.5875,0.0,0.0,0.0,2.5875,0.0,2.5875,0.0,0.0,0.8625,0.8625,0.0,0.8625,0.8625,0.8625,0.8625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,120.0,2.8667596022831265,0.0,1.725,0.8625,2.5875,0.0,0.8625,0.0,0.0,0.0,0.0,3.45,0.0,0.0,1.4375,2.5875,0.8625,0.0,0.0,0.0,0.0,0.0,0.8625,0.0,0.0,1.725,0.0,0.0,1.4375,0.0,0.0,0.8625,2.5875,1.8482803617468786,1.725,1.725,0.0,0.7889301814910649,2.5875,0.0,0.8625,0.0,0.06478298301369612,0.0,0.8625,0.8625,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,135.0,0.0,2.5875,1.725,0.0,2.5875,2.5875,0.8625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4375,2.5875,0.0,0.7110573064211189,1.725,0.0,0.0,0.5798617896227387,0.8625,2.5875,0.0,0.0,0.750584618388592,1.4375,1.4375,1.725,3.2324361957391705,0.0,2.5875,0.0,0.0,1.5666007321102526,2.5875,2.5875,2.5875,0.0,0.0,0.8625,0.0,0.8318233478700924,0.00799271801445911,0.0,0.8625,0.0,1.15,0.8625,0.8625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
