,minutes,ag0,ag1,ag2,ag3,ag4,ag5,ag6,ag7,ag8,ag9,ag10,ag11,ag12,ag13,ag14,ag15,ag16,ag17,ag18,ag19,ag20,ag21,ag22,ag23,ag24,ag25,ag26,ag27,ag28,ag29,ag30,ag31,ag32,ag33,ag34,ag35,ag36,ag37,ag38,ag39,ag40,ag41,ag42,ag43,ag44,ag45,ag46,ag47,ag48,ag49,ag50,PV0,PV1,PV2,PV3,PV4,PV5,PV6,PV7,PV8,PV9,PV10,PV11,PV12,PV13,PV14,PV15,PV16,PV17,PV18,PV19,PV20,PV21,PV22,PV23,PV24,PV25,PV26,PV27,PV28,PV29,PV30,PV31,PV32,PV33,PV34,PV35,PV36,PV37,PV38,PV39,PV40,PV41,PV42,PV43,PV44,PV45,PV46,PV47,PV48,PV49
0,0.0,10.35,2.5875,0.0,0.8625,0.0,0.0,0.8625,0.0,0.0,3.45,0.0,0.0,3.45,2.5875,0.0,0.0,0.0,1.725,0.0,0.0,0.8625,3.45,0.8625,2.5875,0.0,1.725,2.5875,0.0,0.0,1.725,3.45,0.8625,0.0,0.0,0.0,1.725,2.5875,0.0,0.0,2.5875,0.8625,0.0,0.8625,0.0,0.8625,0.0,0.8625,0.8625,0.0,0.8625,0.6198644490503313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15.0,3.512203778264258,2.5875,0.0,0.0,0.0,2.5875,0.0,2.5875,0.0,0.0,0.8625,0.0,0.0,2.5875,1.4375,2.5875,0.0,1.725,1.725,0.0,0.8625,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.725,0.0,0.8625,0.0,2.5875,1.725,0.0,0.0,0.0,0.0,2.5875,0.8625,0.8625,0.0,0.8625,0.8625,0.8625,0.8625,0.7655760085481067,0.0,0.8625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,30.0,0.0,2.5875,0.0,0.8625,2.5875,0.0,0.8625,2.5875,0.8625,3.45,0.8625,0.0,3.45,0.0,1.4375,2.5875,0.0,0.0,1.725,0.0,0.0,2.0634188313503,0.8625,0.0,0.0,0.0,0.0,1.4375,0.0,0.0,0.0,0.8625,0.0,0.0,0.0,1.725,0.0,2.5875,0.0,0.0,0.0,0.0,0.8625,0.0,0.0,0.8625,0.0,0.0,1.15,0.8625,0.8625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,45.0,1.3499261454467404,0.0,1.725,0.8625,2.5875,2.5875,0.8625,2.5875,0.8625,0.0,0.8625,0.0,3.45,0.0,0.0,0.0,0.8625,1.725,0.0,0.0,0.8625,3.45,0.8625,0.0,2.5875,0.901109595023281,2.5875,1.4375,1.4375,1.725,0.0,0.0,2.5875,2.5875,1.725,0.0,0.0,2.5875,2.5875,0.0,0.8625,0.0,0.8625,0.8625,0.0,0.8457739845597582,0.0,0.0,0.0,0.0,0.8625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,60.0,2.997926325545219,0.0,0.0,0.0,0.0,2.5875,0.8625,2.5875,0.0,3.45,0.0,0.0,3.45,0.0,1.4375,2.5875,0.8625,0.0,0.05854557176394898,0.0,0.0,0.0,0.0,2.5875,2.5875,1.725,2.5875,0.0,1.4375,1.725,3.45,0.0,2.5875,2.5875,0.0,0.0,2.5875,0.0,2.5875,0.0,0.8625,0.8625,0.8625,0.0,0.0,0.0,0.8625,0.8625,1.15,0.0,0.8625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,75.0,6.721855258342483,0.0,1.725,0.8625,2.5875,2.5875,0.8625,0.0,0.8625,0.0,0.6404126763580086,0.0,3.45,0.0,0.0,2.5875,0.0,0.0,1.725,0.0,0.6783354174404469,3.45,0.8625,0.0,0.0,1.725,2.5875,0.0,0.0,1.725,3.45,0.0,0.0,2.5875,1.725,0.23926056625161288,0.0,2.5875,2.5875,0.0,0.8625,0.0,0.8625,0.8625,0.8625,0.8625,0.0,0.0,1.15,0.8625,0.8625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,90.0,10.35,0.0,1.725,0.8625,2.5875,2.5875,0.8625,0.0,0.8625,3.45,0.8625,0.0,0.0,0.0,0.0,0.0,0.8625,1.725,0.0,1.725,0.8625,0.0,0.0,0.0,0.0,1.725,0.0,0.0,1.4375,0.0,0.0,0.8625,2.5875,2.5875,0.6232128318035879,1.725,2.5875,0.0,2.5875,0.0,0.8625,0.8625,0.0,0.07814345947838611,0.0,0.0,0.8625,0.8625,1.15,0.8625,0.8625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,105.0,0.0,2.5875,1.725,0.8625,2.5875,0.0,0.0,2.5875,0.8625,0.0,0.8625,3.45,0.0,2.5875,1.4375,2.5875,0.0,0.0,0.0,1.725,0.8625,0.0,0.8625,2.5875,2.5875,1.725,2.5875,1.4375,1.4375,0.0,3.45,0.8625,0.0,2.5875,0.0,0.0,2.5875,0.0,0.0,0.0,0.8625,0.0,0.8625,0.8625,0.0,0.8625,0.8625,0.0,1.15,0.8625,0.04018611808241418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,120.0,0.0,2.5875,1.725,0.8625,0.0,0.9736220688829187,0.0,2.5875,0.0,0.0,0.0,3.45,3.45,0.0,0.0,0.0,0.8625,0.8018400866368434,0.0,0.0,0.8625,3.45,0.0,2.5875,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.8625,0.0,0.0,1.725,0.0,0.0,2.5875,2.5875,0.0,0.0,0.8625,0.0,0.0,0.8625,0.8625,0.0,0.8625,1.15,0.8625,0.8625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,135.0,0.0,0.0,1.725,0.8625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.051911049489733,0.0,0.0,1.4375,0.0,0.8625,0.0,0.0,1.725,0.8625,0.0,0.8625,2.5875,0.0,1.725,0.0,1.4375,0.0,0.0,0.0,0.8625,2.5875,2.5875,0.0,1.725,2.5875,0.0,2.5875,2.5875,0.8625,0.0,0.0,0.8625,0.0,0.8625,0.0,0.8625,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
